Brand,Year,Model,Car/Suv,Title,UsedOrNew,Transmission,Engine,DriveType,FuelType,FuelConsumption,Kilometres,ColourExtInt,Location,CylindersinEngine,BodyType,Doors,Seats,Price
2.0,2009,305.0,145.0,329.0,2.0,1.0,11.0,0.0,1.0,10.7,153891,170.0,276.0,1.0,4.0,4,5,16420.0
9.0,2015,237.0,154.0,1587.0,2.0,1.0,24.0,0.0,1.0,7.4,119342,157.0,127.0,2.0,5.0,4,5,21888.0
45.0,2016,239.0,145.0,2498.0,2.0,1.0,16.0,1.0,5.0,7.8,132194,311.0,339.0,1.0,4.0,4,5,41950.0
45.0,2015,161.0,154.0,2800.0,2.0,1.0,18.0,0.0,1.0,7.9,188702,311.0,56.0,1.0,5.0,4,5,14900.0
43.0,2017,193.0,159.0,1247.0,2.0,1.0,16.0,1.0,4.0,4.7,41275,170.0,109.0,1.0,6.0,4,5,34880.0
45.0,2008,161.0,154.0,1524.0,2.0,2.0,18.0,0.0,1.0,8.9,196135,338.0,105.0,1.0,5.0,4,5,8950.0
34.0,2017,213.0,154.0,2729.0,2.0,1.0,14.0,0.0,1.0,8.8,196114,311.0,276.0,1.0,5.0,4,5,36990.0
2.0,2013,18.0,127.0,1074.0,2.0,1.0,11.0,3.0,4.0,6.5,165245,15.0,15.0,1.0,3.0,4,5,16995.0
30.0,2018,59.0,127.0,1435.0,2.0,1.0,11.0,3.0,4.0,8.8,164863,15.0,46.0,1.0,3.0,4,5,23888.0
33.0,2009,50.0,145.0,3190.0,2.0,1.0,11.0,2.0,5.0,8.2,73989,379.0,70.0,1.0,4.0,4,5,13913.0
46.0,2010,226.0,159.0,526.0,2.0,1.0,9.0,2.0,4.0,5.5,81608,311.0,307.0,1.0,6.0,4,5,11880.0
23.0,2019,222.0,127.0,1398.0,2.0,1.0,11.0,2.0,5.0,5.8,5159,21.0,132.0,1.0,3.0,4,5,43990.0
16.0,2019,90.0,145.0,2242.0,2.0,1.0,6.0,1.0,5.0,7.9,104066,384.0,322.0,1.0,4.0,4,5,26990.0
29.0,2019,56.0,154.0,1993.0,2.0,1.0,24.0,3.0,1.0,6.0,19768,272.0,379.0,2.0,5.0,4,5,23990.0
29.0,2018,94.0,145.0,3400.0,2.0,1.0,16.0,1.0,5.0,6.5,62782,157.0,276.0,1.0,4.0,4,5,41990.0
47.0,2017,310.0,145.0,2821.0,2.0,1.0,11.0,1.0,1.0,8.5,162384,338.0,414.0,1.0,4.0,4,5,37888.0
45.0,2011,239.0,145.0,2495.0,2.0,1.0,11.0,2.0,5.0,6.8,133360,311.0,377.0,1.0,4.0,4,5,23950.0
13.0,2017,275.0,47.0,3538.0,0.0,1.0,11.0,0.0,0.0,7.4,89044,221.0,256.0,1.0,4.0,4,5,20995.0
25.0,2015,274.0,154.0,3374.0,2.0,1.0,11.0,0.0,1.0,7.4,130569,311.0,293.0,1.0,5.0,4,5,23400.0
